version	level	n_ec_codewords_per_block	group_size_0	block_data_size_0	block_ec_size_0	group_size_1	block_data_size_1	block_ec_size_1	n_data_codewords	n_ec_codewords	n_codewords
1	l	7	1	19	7	0	0	0	19	7	26
1	m	10	1	16	10	0	0	0	16	10	26
1	q	13	1	13	13	0	0	0	13	13	26
1	h	17	1	9	17	0	0	0	9	17	26
2	l	10	1	34	10	0	0	0	34	10	44
2	m	16	1	28	16	0	0	0	28	16	44
2	q	22	1	22	22	0	0	0	22	22	44
2	h	28	1	16	28	0	0	0	16	28	44
3	l	15	1	55	15	0	0	0	55	15	70
3	m	26	1	44	26	0	0	0	44	26	70
3	q	18	2	17	36	0	0	0	34	36	70
3	h	22	2	13	44	0	0	0	26	44	70
4	l	20	1	80	20	0	0	0	80	20	100
4	m	18	2	32	36	0	0	0	64	36	100
4	q	26	2	24	52	0	0	0	48	52	100
4	h	16	4	9	64	0	0	0	36	64	100
5	l	26	1	108	26	0	0	0	108	26	134
5	m	24	2	43	48	0	0	0	86	48	134
5	q	18	2	15	36	2	16	36	62	72	134
5	h	22	2	11	44	2	12	44	46	88	134
6	l	18	2	68	36	0	0	0	136	36	172
6	m	16	4	27	64	0	0	0	108	64	172
6	q	24	4	19	96	0	0	0	76	96	172
6	h	28	4	15	112	0	0	0	60	112	172
7	l	20	2	78	40	0	0	0	156	40	196
7	m	18	4	31	72	0	0	0	124	72	196
7	q	18	2	14	36	4	15	72	88	108	196
7	h	26	4	13	104	1	14	26	66	130	196
8	l	24	2	97	48	0	0	0	194	48	242
8	m	22	2	38	44	2	39	44	154	88	242
8	q	22	4	18	88	2	19	44	110	132	242
8	h	26	4	14	104	2	15	52	86	156	242
9	l	30	2	116	60	0	0	0	232	60	292
9	m	22	3	36	66	2	37	44	182	110	292
9	q	20	4	16	80	4	17	80	132	160	292
9	h	24	4	12	96	4	13	96	100	192	292
10	l	18	2	68	36	2	69	36	274	72	346
10	m	26	4	43	104	1	44	26	216	130	346
10	q	24	6	19	144	2	20	48	154	192	346
10	h	28	6	15	168	2	16	56	122	224	346
11	l	20	4	81	80	0	0	0	324	80	404
11	m	30	1	50	30	4	51	120	254	150	404
11	q	28	4	22	112	4	23	112	180	224	404
11	h	24	3	12	72	8	13	192	140	264	404
12	l	24	2	92	48	2	93	48	370	96	466
12	m	22	6	36	132	2	37	44	290	176	466
12	q	26	4	20	104	6	21	156	206	260	466
12	h	28	7	14	196	4	15	112	158	308	466
13	l	26	4	107	104	0	0	0	428	104	532
13	m	22	8	37	176	1	38	22	334	198	532
13	q	24	8	20	192	4	21	96	244	288	532
13	h	22	12	11	264	4	12	88	180	352	532
14	l	30	3	115	90	1	116	30	461	120	581
14	m	24	4	40	96	5	41	120	365	216	581
14	q	20	11	16	220	5	17	100	261	320	581
14	h	24	11	12	264	5	13	120	197	384	581
15	l	22	5	87	110	1	88	22	523	132	655
15	m	24	5	41	120	5	42	120	415	240	655
15	q	30	5	24	150	7	25	210	295	360	655
15	h	24	11	12	264	7	13	168	223	432	655
16	l	24	5	98	120	1	99	24	589	144	733
16	m	28	7	45	196	3	46	84	453	280	733
16	q	24	15	19	360	2	20	48	325	408	733
16	h	30	3	15	90	13	16	390	253	480	733
17	l	28	1	107	28	5	108	140	647	168	815
17	m	28	10	46	280	1	47	28	507	308	815
17	q	28	1	22	28	15	23	420	367	448	815
17	h	28	2	14	56	17	15	476	283	532	815
18	l	30	5	120	150	1	121	30	721	180	901
18	m	26	9	43	234	4	44	104	563	338	901
18	q	28	17	22	476	1	23	28	397	504	901
18	h	28	2	14	56	19	15	532	313	588	901
19	l	28	3	113	84	4	114	112	795	196	991
19	m	26	3	44	78	11	45	286	627	364	991
19	q	26	17	21	442	4	22	104	445	546	991
19	h	26	9	13	234	16	14	416	341	650	991
20	l	28	3	107	84	5	108	140	861	224	1085
20	m	26	3	41	78	13	42	338	669	416	1085
20	q	30	15	24	450	5	25	150	485	600	1085
20	h	28	15	15	420	10	16	280	385	700	1085
21	l	28	4	116	112	4	117	112	932	224	1156
21	m	26	17	42	442	0	0	0	714	442	1156
21	q	28	17	22	476	6	23	168	512	644	1156
21	h	30	19	16	570	6	17	180	406	750	1156
22	l	28	2	111	56	7	112	196	1006	252	1258
22	m	28	17	46	476	0	0	0	782	476	1258
22	q	30	7	24	210	16	25	480	568	690	1258
22	h	24	34	13	816	0	0	0	442	816	1258
23	l	30	4	121	120	5	122	150	1094	270	1364
23	m	28	4	47	112	14	48	392	860	504	1364
23	q	30	11	24	330	14	25	420	614	750	1364
23	h	30	16	15	480	14	16	420	464	900	1364
24	l	30	6	117	180	4	118	120	1174	300	1474
24	m	28	6	45	168	14	46	392	914	560	1474
24	q	30	11	24	330	16	25	480	664	810	1474
24	h	30	30	16	900	2	17	60	514	960	1474
25	l	26	8	106	208	4	107	104	1276	312	1588
25	m	28	8	47	224	13	48	364	1000	588	1588
25	q	30	7	24	210	22	25	660	718	870	1588
25	h	30	22	15	660	13	16	390	538	1050	1588
26	l	28	10	114	280	2	115	56	1370	336	1706
26	m	28	19	46	532	4	47	112	1062	644	1706
26	q	28	28	22	784	6	23	168	754	952	1706
26	h	30	33	16	990	4	17	120	596	1110	1706
27	l	30	8	122	240	4	123	120	1468	360	1828
27	m	28	22	45	616	3	46	84	1128	700	1828
27	q	30	8	23	240	26	24	780	808	1020	1828
27	h	30	12	15	360	28	16	840	628	1200	1828
28	l	30	3	117	90	10	118	300	1531	390	1921
28	m	28	3	45	84	23	46	644	1193	728	1921
28	q	30	4	24	120	31	25	930	871	1050	1921
28	h	30	11	15	330	31	16	930	661	1260	1921
29	l	30	7	116	210	7	117	210	1631	420	2051
29	m	28	21	45	588	7	46	196	1267	784	2051
29	q	30	1	23	30	37	24	1110	911	1140	2051
29	h	30	19	15	570	26	16	780	701	1350	2051
30	l	30	5	115	150	10	116	300	1735	450	2185
30	m	28	19	47	532	10	48	280	1373	812	2185
30	q	30	15	24	450	25	25	750	985	1200	2185
30	h	30	23	15	690	25	16	750	745	1440	2185
31	l	30	13	115	390	3	116	90	1843	480	2323
31	m	28	2	46	56	29	47	812	1455	868	2323
31	q	30	42	24	1260	1	25	30	1033	1290	2323
31	h	30	23	15	690	28	16	840	793	1530	2323
32	l	30	17	115	510	0	0	0	1955	510	2465
32	m	28	10	46	280	23	47	644	1541	924	2465
32	q	30	10	24	300	35	25	1050	1115	1350	2465
32	h	30	19	15	570	35	16	1050	845	1620	2465
33	l	30	17	115	510	1	116	30	2071	540	2611
33	m	28	14	46	392	21	47	588	1631	980	2611
33	q	30	29	24	870	19	25	570	1171	1440	2611
33	h	30	11	15	330	46	16	1380	901	1710	2611
34	l	30	13	115	390	6	116	180	2191	570	2761
34	m	28	14	46	392	23	47	644	1725	1036	2761
34	q	30	44	24	1320	7	25	210	1231	1530	2761
34	h	30	59	16	1770	1	17	30	961	1800	2761
35	l	30	12	121	360	7	122	210	2306	570	2876
35	m	28	12	47	336	26	48	728	1812	1064	2876
35	q	30	39	24	1170	14	25	420	1286	1590	2876
35	h	30	22	15	660	41	16	1230	986	1890	2876
36	l	30	6	121	180	14	122	420	2434	600	3034
36	m	28	6	47	168	34	48	952	1914	1120	3034
36	q	30	46	24	1380	10	25	300	1354	1680	3034
36	h	30	2	15	60	64	16	1920	1054	1980	3034
37	l	30	17	122	510	4	123	120	2566	630	3196
37	m	28	29	46	812	14	47	392	1992	1204	3196
37	q	30	49	24	1470	10	25	300	1426	1770	3196
37	h	30	24	15	720	46	16	1380	1096	2100	3196
38	l	30	4	122	120	18	123	540	2702	660	3362
38	m	28	13	46	364	32	47	896	2102	1260	3362
38	q	30	48	24	1440	14	25	420	1502	1860	3362
38	h	30	42	15	1260	32	16	960	1142	2220	3362
39	l	30	20	117	600	4	118	120	2812	720	3532
39	m	28	40	47	1120	7	48	196	2216	1316	3532
39	q	30	43	24	1290	22	25	660	1582	1950	3532
39	h	30	10	15	300	67	16	2010	1222	2310	3532
40	l	30	19	118	570	6	119	180	2956	750	3706
40	m	28	18	47	504	31	48	868	2334	1372	3706
40	q	30	34	24	1020	34	25	1020	1666	2040	3706
40	h	30	20	15	600	61	16	1830	1276	2430	3706
